FILE:,\\Remote-desktop\공용 폴더\프로젝트\산업부 알키미스트\가공데이터\표면조도\0801\0801표면조도평가곡선파일_S2800_F1150.CSV
PROPERTY:
,타이틀,
,부제,
,작성자,SV-2100M4
,작성일자,2025-08-01 오후 3:10:05
,변경일자,2025-08-01 오후 3:30:32
,갱신자,SV-2100M4
,개정번호,0
,측정시작 일자,2025-08-01 오후 3:12:06
,측정종료 일자,2025-08-01 오후 3:30:03

UNIT:,mm,μm
DECIMAL:,4,3

DATAAXIS:,X,Z,D
DATAUNIT:,mm,μm

PROFILENUM:,1

PROFILENO:,1
XPITCH:,0.0500000000000000
DATANUM:,1800
,0.100000000000000,-0.153221259570231,0
,0.150000000000000,-0.546359275019988,0
,0.200000000000000,0.507864929203561,0
,0.250000000000000,2.26723471666597,0
,0.300000000000000,3.45888345165558,0
,0.350000000000000,3.89712282110176,0
,0.400000000000000,3.40195906216075,0
,0.450000000000000,1.86169223231895,0
,0.500000000000000,-0.115191530074174,0
,0.550000000000000,-1.21210803295047,0
,0.600000000000000,-0.526938587143092,0
,0.650000000000000,1.18800884715531,0
,0.700000000000000,2.63958269503353,0
,0.750000000000000,3.39276697292152,0
,0.800000000000000,3.24404660696316,0
,0.850000000000000,2.05738469838146,0
,0.900000000000000,-0.0294660188898172,0
,0.950000000000000,-1.61312028269340,0
,1.00000000000000,-1.43410408534166,0
,1.05000000000000,0.0873592021396532,0
,1.10000000000000,1.68886870521390,0
,1.15000000000000,2.54389715340328,0
,1.20000000000000,2.55177736485884,0
,1.25000000000000,1.51547144082483,0
,1.30000000000000,-0.621453783150060,0
,1.35000000000000,-2.50600219859999,0
,1.40000000000000,-2.71144741379420,0
,1.45000000000000,-1.19544199208256,0
,1.50000000000000,0.790912853614380,0
,1.55000000000000,2.01981269818973,0
,1.60000000000000,2.31085415789207,0
,1.65000000000000,1.36480747739590,0
,1.70000000000000,-0.805364494990848,0
,1.75000000000000,-2.80406611166177,0
,1.80000000000000,-3.27328795489592,0
,1.85000000000000,-2.01678272198979,0
,1.90000000000000,-0.0856274207969266,0
,1.95000000000000,1.35320721855669,0
,2.00000000000000,2.04172894302757,0
,2.05000000000000,1.30177001210831,0
,2.10000000000000,-0.891825282111665,0
,2.15000000000000,-3.12270496050455,0
,2.20000000000000,-3.93449642564520,0
,2.25000000000000,-2.89963265289475,0
,2.30000000000000,-1.02489470219745,0
,2.35000000000000,0.431206926350297,0
,2.40000000000000,1.36178495876498,0
,2.45000000000000,1.22231533505201,0
